timestamp,speaker,words,tags
,Mary,"Okay, well we are here with Kazumo (Kaz) Horita, age 83, of Chicago, a Nisei man, and it is March 11, 19-, uh, 2005. My name is Mary Hanneman, with the University of Washington.",
,Lisa,"And I’m Lisa Hoffman, also with the University of Washington, Tacoma. And we’d like to start if you can tell us where and when you were born, and a little bit about your family background.",
,Kazumo,"Okay, well, let’s see. Born December 23rd, 1921, in Tacoma, and talking…talking about myself… how long a history do you want here? [laughter]",
,Mary,"Well, tell us about your parents, when your parents came to Tacoma, and uh…",
,Kazumo,"Okay, my father came in 1906, my mother came 1920, but talking about Dad, he came mainly to raise funds, raise money to be able to help for the family in Japan. He came with his older brother. My dad was the youngest son in the family, and came with his older brother, and the two of them were going to do that. I think part of the reason for having all of this occur is that the family had funds for lots of years and had property and all that, but they had a couple of uh, my grandfather, grandfather, whatever, excuse me, but, uh, they knew how to spend the money and I think they threw away the money if nothing else. And they were at the point where they were in debt, so that that was the reason for Dad and Mom, uh Dad and his older brother coming to the United States to see if they can’t at least help out in that, the paying off the debts and all that.",
,Kazumo,"So uh, my dad was fairly well educated for the Japanese boys in those age, and I know that much, much later than that, when I visited Japan, my cousin told me that it was too bad that Dad had to be one of those that came to the United States, because his uh, he would have had a good career in Japan, they thought, because of his education. He came over here, worked in a, and I’m not quite sure exactly how many years, but only a few years, in uh in a sawmill. And then from there, he established his own, uh, produce market, and he had that produce market, uh for many years. I’m not quite sure the year, as I say, when he opened it, but it would’ve been somewhere around, uh, the late nineteen-hundreds. Late 1900, before 1910.",
,Mary,Where was that and what was the name of the produce?,
,Kazumo,"Okay, I’m not quite sure where his first one might have been, but we had two separate—by the time he established everything—we had two separate produce markets. One located on the corner of 11th and Market, and one located mid-block, the middle of, I think the address was in fact something like 1124 Market Street. [dark shape crosses camera right to left] And uh so, he did, at least from what people tell me, and a lot of that and this information comes from the people that supplied him the, uh produce, which would have been the wholesale markets [dark shape crosses camera left to right] and the farmers. My dad did a real good job of doing that. And in fact, I’d have to say, at least a hundred times I was told by the wholesale people that, “When you grow up, if you could be like your dad, you’re going to be a success.” So yeah, I felt, uh, that he was doing a good job.",
,Kazumo,"And then subsequently, there’s things like, I went to Japan, uh on a business trip, visited my cousins, who were living in a place, Fukui, Japan, and when I saw them, they said – I slept over at their, my cousins’ house actually – and he said, “Do you know, do you know anything about this house?” And I said, “What do you mean, do I know anything about the house?” “Well, want you to know,” and it was a nice house, “I want you to know that your dad is the one that sent the money to build the house.” And so it was things like that that. Then I met other cousins who told me that, “your dad is the one that sent the money so I could get married.” Another one that says, you know, “I was very sick, and your dad is the one that sent the money” that, you know, was medicine and hospital and things, costs that they needed. So I thought Dad did a pretty good job, at least I felt he was pretty successful, and I would’ve been like kids in those days, pretty happy to be as successful as he was.",
0:05:47,Kazumo,"A cute story that occurs, I mean, I may just interject it right now, but my, in World War One, now this will going back to what, 19-, uh -16s or -17s, when the United States got into the war, but even prior to that, the Germans had a hard time getting jobs, they were rejected for employment and all that kind of stuff, and, um, my dad hired a German fellow, his name was Mr. Schreiber, as a truck driver for his store. And now we speed forth into World War II, and Mr. Schreiber found out about the fact that we were going to have to leave, we were going to, you know, just be taken away somewhere, and we remember Mr. Schreiber coming down just about every day to Dad, saying, “what can I do for you? You know, I want to help out. I want to be able to do whatever it is, because you’re the one that did everything for me during World War I, I want to do something for you.” And so we stored our, a lot of our furniture and things with Mr. Schreiber, leaving so… But it was kind of interesting how that occurred.",
,Lisa,"Do you know why your dad and his brother went to the Tacoma area, and did they stop in Seattle at all?",
