timestamp,speaker,words,tags
,Lisa,"Do we need more sound tests, or?",
,Camera man,I think we’re all set.,
,Mary,Okay.,
,Mary,"Well this is an interview with Mr. Perry Yoshiako, Yoshiaki Yano. He’s 73, he’s from Naperville, Illinois. We are in Chicago, Illinois, right now. It’s March 10th, 2005. I’m Mary Hanneman, from University of Washington, Tacoma.",
,Lisa,"And I’m Lisa Hoffman, also from the University of Washington, Tacoma.",
,Lisa,"So thank you very much for joining us today, and we just want to start out with, um, a few questions about your background, so if you could tell us when and where you were born, and if you have any siblings.",
,Perry,"Yeah, I was born in June, on June 2nd, 1931, I think Tacoma General Hospital. And I have, I’ve a sister five years older than me. Her name is Masako Mae, and Matsumori now. And she lives near Salt Lake City, with her, with her husband.",
,Lisa,"Great. And-. Oh, I’m sorry.",
,Perry,"No, go ahead.",
,Lisa,"Um, it, it’s just the two of you?",
,Perry,Yes.,
,Lisa,"You and your sister? And do you know when your parents came to the United States? And if they, where did they go first?",
,Perry,"I think, I think my, my father came in 1906, and I guess he came Seattle first. Then he, uh, went back and he got married and brought my, uh, my mother over – 1924. And I think he just, that was the, about the last of the, I think [cracking noise] in ’24, that was the last, she wouldn’t have been able to come after that. Because of the, there was, I guess there was a law passed. And in 1906, I think, after that there was, they allowed family members to come, but not immigrants. So in both cases, it was the last year for them to get over here.",
,Mary,So your father came in 1906.,
,Perry,"I believe so, yes.",
,Mary,"And then married in 1924, about. So-.",
,Perry,"Yeah, I guess.",
,Mary,"Sounds like he was maybe old, quite a bit older than your mother? Or-?",
,Perry,"He, yeah, actually he was. He was about thirteen years older.",
,Mary,Uh-huh.,
,Lisa,"How, how did they meet? Was that an arranged marriage?",
,Perry,"Yes. Yeah, I don’t know too-- I remember he had a very good friend that went to the same scho-, high school that he did in Japan, and I guess this fellow was, was pretty mature, or more maybe more so than my dad. So I remember, so my, my grandfather asked him to look out for my dad, and so they were pretty close. And then – so when this fellow ca-, went back to Japan, he got married, and he married, actually married my mother’s sister. And then he sort of thought it was a good idea for my dad to come back and marry his sister, I mean her, I guess you know–",
,"Mary, Lisa",His wife’s sister.,
,Perry,Right. So that’s what happened.,
,Lisa,So they were all from the same area in Japan?,
,Perry,Yes.,
,Lisa,Where was that?,
,Perry,"It was a ci-, it was a small city in Ma-, called Marugame, in Shikoku. It was a prefecture – Kagawaken. So, we were back there once, it was a pretty nice town. We never, we met, we didn’t meet too many of the relatives, but there’s not, apparently there’s not too many left.",
,Mary,When did you go back?,
,Perry,"Oh, I, gee, it was maybe about ten years ago.",
,"Lisa, Mary",Oh.,
,Perry,"We went back as a, the four of us were able to go back.",
,Mary,"Oh, how neat.",
,Lisa,"Oh, wow.",
,Perry,"To go back to our, or their hometown. Do a little sight-seeing.",
,Lisa,Fantastic.,
0:05:02,Mary,What did your father do in Tacoma?,
,Perry,"He was a, at one time he was a-. Well he, I think he worked a lot as a farmer, you know, working for other farm-, for a farmer. And then he went, he was a, he owned a, a pool hall at one time, with a friend. And then after he got married, he didn’t, he thought he should do something more, more respectable, I guess, so--. But so he, he used to go and, on a truck and sell vegetables, uh, fruits and vegetables. And he did that for a while. And then, when I was around four or five, he bought a, well he rented a grocery store, and they, that’s uh, so he did that, he did that for about four or five years, before-. Then the war started.",
,Mary,Uh-huh. Do you remember the name of the grocery store?,
,Perry,Probably just Yao’s Grocery.,
,Mary,And where did your family live?,
,Perry,"I think it was a corner of 19th and K – that was our last address. And then before that we lived, it was on an alley, I think it was below, between Fawcett and Market Street, on s-, on 17th. 17th or fif-, 17th or 15th, I’m not sure.",
,Lisa,Do you know how long your father stayed in Seattle when he first came?,
